#{"t_start": 1612627554.8002896, "env_id": "Scarecrow-v0"}
r,l,t
-6351.719712,1000,3166.512019
-5080.240833,1000,3168.472018
-6408.997777,1000,3175.017048
-5853.086034,1000,3177.024049
-3590.365,1000,3183.31101
-4775.85,1000,3185.554949
-2387.233333,1000,3188.203953
-2940,1000,3195.035941
-5173.083333,1000,3197.084944
-5007.382778,1000,3203.473911
-3767.560779,1000,3205.891962
-3990,1000,3212.089896
-4485.95,1000,3214.116894
-4653.09052,1000,3220.318994
-6857.926765,1000,3222.413996
-4374.468467,1000,3228.830055
-4673.083333,1000,3230.953058
-6943.086034,1000,3237.398093
-2545.860779,1000,3239.295093
-5485.852701,1000,3245.619138
-5297.233333,1000,3247.67314
-3735.85,1000,3254.117126
-7170.421559,1000,3256.040156
-4683.086034,1000,3262.371463
-5834.482778,1000,3264.684029
-4937.235134,1000,3273.905163
-3504.470268,1000,3277.664685
-5727.233333,1000,3286.78069
-5117.233333,1000,3291.184686
-7890,1000,3299.054679
-4965.85,1000,3302.175058
-5118.933333,1000,3309.15897
-5638.933333,1000,3312.280507
-6568.435134,1000,3324.627509
-4685.85,1000,3328.264507
-3707.233333,1000,3338.912669
-3751.95,1000,3343.734838
-4865.85,1000,3355.335839
-5080,1000,3359.816838
-2805.85,1000,3368.682879
-5920,1000,3371.27988
-5187.554501,1000,3380.371788
-6424.383333,1000,3382.499823
-3609.75,1000,3390.169798
-7164.2,1000,3392.471247
-3806.166667,1000,3399.29623
-4005.85,1000,3401.559229
-4047.233333,1000,3408.301229
-6076.416667,1000,3410.487231
